ID,Game Title,Source,Researcher,Included,Exclusion Notes,URL,Publication Year,Developers,Publisher,Still being used in classrooms?,Still accessible/downloadable?,Discontinued support?,Generalized Subject,Subject1,Subject2,Subject remainder (a++ b++ c),Teaching (College++ Training++ Work),Colleges that use the game,Cost,Game Type (Story++ Simulation...),Genre: single player++ multiplayer++ other (specify),Tags,Game Time,2D/3D,Sound,Platform,Available in Spanish,Available in other languages,Notes,Image
703,Compare Functions Math Games,Legends of Learning,Ethan,FALSE,Grade 8,https://www.legendsoflearning.com/learning-objectives/compare-functions-math-games/,UC,Legends of Learning,N/A,Y,Y,N,,Mathematics ,,,,,Free,,,,,,,Web-based mobil,,,,
704,Understanding Functions Math Games,Legends of Learning,Ethan,FALSE,Grade 8,https://www.legendsoflearning.com/learning-objectives/understanding-functions-math-games/,UC,Legends of Learning,N/A,Y,Y,N,,Mathematics ,,,,,Free,,,,,,,Web-based mobil,,,,
705,Real World Problems With System Of Equations Math Games,Legends of Learning,Ethan,FALSE,Grade 8,https://www.legendsoflearning.com/learning-objectives/real-world-problems-with-system-of-equations-math-games/,UC,Legends of Learning,N/A,Y,Y,N,,Mathematics ,,,,,Free,,,,,,,Web-based mobil,,,,
706,Solve Systems Of Equations Math Games,Legends of Learning,Ethan,FALSE,Grade 8,https://www.legendsoflearning.com/learning-objectives/solve-systems-of-equations-math-games/,UC,Legends of Learning,N/A,Y,Y,N,,Mathematics ,,,,,Free,,,,,,,Web-based mobil,,,,
707,Understand Systems Of Equations Math Games,Legends of Learning,Ethan,FALSE,Grade 8,https://www.legendsoflearning.com/learning-objectives/understand-systems-of-equations-math-games/,UC,Legends of Learning,N/A,Y,Y,N,,Mathematics ,,,,,Free,,,,,,,Web-based mobil,,,,
708,Algebraic Expressions using Distributive Property Math Games,Legends of Learning,Ethan,FALSE,Grade 8,https://www.legendsoflearning.com/learning-objectives/algebraic-expressions-using-distributive-property-math-games/,UC,Legends of Learning,N/A,Y,Y,N,,Mathematics ,,,,,Free,,,,,,,Web-based mobil,,,,
709,Understand Algebraic Results Math Games,Legends of Learning,Ethan,FALSE,Grade 8,https://www.legendsoflearning.com/learning-objectives/understand-algebraic-results-math-games/,UC,Legends of Learning,N/A,Y,Y,N,,Mathematics ,,,,,Free,,,,,,,Web-based mobil,,,,
710,Consistency Of Slope Using Similar Triangles Math Games,Legends of Learning,Ethan,FALSE,Grade 8,https://www.legendsoflearning.com/learning-objectives/consistency-of-slope-using-similar-triangles-math-games/,UC,Legends of Learning,N/A,Y,Y,N,,Mathematics ,,,,,Free,,,,,,,Web-based mobil,,,,
711,Unit Rate As Slope Of A Graph Math Games,Legends of Learning,Ethan,FALSE,Grade 8,https://www.legendsoflearning.com/learning-objectives/unit-rate-as-slope-of-a-graph-math-games/,UC,Legends of Learning,N/A,Y,Y,N,,Mathematics ,,,,,Free,,,,,,,Web-based mobil,,,,
712,Operations With Scientific Notation Math Games,Legends of Learning,Ethan,FALSE,Grade 8,https://www.legendsoflearning.com/learning-objectives/operations-with-scientific-notation-math-games/,UC,Legends of Learning,N/A,Y,Y,N,,Mathematics ,,,,,Free,,,,,,,Web-based mobil,,,,
713,Powers Of Ten Math Games,Legends of Learning,Ethan,FALSE,Grade 8,https://www.legendsoflearning.com/learning-objectives/powers-of-ten-math-games/,UC,Legends of Learning,N/A,Y,Y,N,,Mathematics ,,,,,Free,,,,,,,Web-based mobil,,,,
714,Find Compound Probabilities Math Games,Legends of Learning,Ethan,FALSE,Grade 8,https://www.legendsoflearning.com/learning-objectives/find-compound-probabilities-math-games/,UC,Legends of Learning,N/A,Y,Y,N,,Mathematics ,,,,,Free,,,,,,,Web-based mobil,,,,
715,Represent Compound Probability Math Games,Legends of Learning,Ethan,FALSE,Grade 7,https://www.legendsoflearning.com/learning-objectives/represent-compound-probability-math-games/,UC,Legends of Learning,N/A,Y,Y,N,,Mathematics ,,,,,Free,,,,,,,Web-based mobil,,,,
716,Understand Compound Probability Math Games,Legends of Learning,Ethan,FALSE,Grade 7,https://www.legendsoflearning.com/learning-objectives/understand-compound-probability-math-games/,UC,Legends of Learning,N/A,Y,Y,N,,Mathematics ,,,,,Free,,,,,,,Web-based mobil,,,,
717,Experimental Probability Math Games,Legends of Learning,Ethan,FALSE,Grade 7,https://www.legendsoflearning.com/learning-objectives/experimental-probability-math-games/,UC,Legends of Learning,N/A,Y,Y,N,,Mathematics ,,,,,Free,,,,,,,Web-based mobil,,,,
718,Theoretical Probability Math Games,Legends of Learning,Ethan,FALSE,Grade 7,https://www.legendsoflearning.com/learning-objectives/theoretical-probability-math-games/,UC,Legends of Learning,N/A,Y,Y,N,,Mathematics ,,,,,Free,,,,,,,Web-based mobil,,,,
719,Approximate Probability Math Games,Legends of Learning,Ethan,FALSE,Grade 7,https://www.legendsoflearning.com/learning-objectives/approximate-probability-math-games/,UC,Legends of Learning,N/A,Y,Y,N,,Mathematics ,,,,,Free,,,,,,,Web-based mobil,,,,
720,Understand Probability Math Games,Legends of Learning,Ethan,FALSE,Grade 7,https://www.legendsoflearning.com/learning-objectives/understand-probability-math-games/,UC,Legends of Learning,N/A,Y,Y,N,,Mathematics ,,,,,Free,,,,,,,Web-based mobil,,,,
721,Data from Populations Math Games,Legends of Learning,Ethan,FALSE,Grade 7,https://www.legendsoflearning.com/learning-objectives/data-from-populations-math-games/,UC,Legends of Learning,N/A,Y,Y,N,,Mathematics ,,,,,Free,,,,,,,Web-based mobil,,,,
722,Observations Using Mean Math Games,Legends of Learning,Ethan,FALSE,Grade 7,https://www.legendsoflearning.com/learning-objectives/observations-using-mean-math-games/,UC,Legends of Learning,N/A,Y,Y,N,,Mathematics ,,,,,Free,,,,,,,Web-based mobil,,,,
723,Draw Inferences From Random Sample Math Games,Legends of Learning,Ethan,FALSE,Grade 7,https://www.legendsoflearning.com/learning-objectives/draw-inferences-from-random-sample-math-games/,UC,Legends of Learning,N/A,Y,Y,N,,Mathematics ,,,,,Free,,,,,,,Web-based mobil,,,,
724,Understanding Random Sample Math Games,Legends of Learning,Ethan,FALSE,Grade 7,https://www.legendsoflearning.com/learning-objectives/understanding-random-sample-math-games/,UC,Legends of Learning,N/A,Y,Y,N,,Mathematics ,,,,,Free,,,,,,,Web-based mobil,,,,
725,Area++ Surface Area And Volume Math Games,Legends of Learning,Ethan,FALSE,Grade 7,https://www.legendsoflearning.com/learning-objectives/area-surface-area-and-volume-math-games/,UC,Legends of Learning,N/A,Y,Y,N,,Mathematics ,,,,,Free,,,,,,,Web-based mobil,,,,
726,Equations Using Angle Measures Math Games,Legends of Learning,Ethan,FALSE,Grade 7,https://www.legendsoflearning.com/learning-objectives/equations-using-angle-measures-math-games/,UC,Legends of Learning,N/A,Y,Y,N,,Mathematics ,,,,,Free,,,,,,,Web-based mobil,,,,
727,Circumference And Area Formulas Math Games,Legends of Learning,Ethan,FALSE,Grade 7,https://www.legendsoflearning.com/learning-objectives/circumference-and-area-formulas-math-games/,UC,Legends of Learning,N/A,Y,Y,N,,Mathematics ,,,,,Free,,,,,,,Web-based mobil,,,,
728,Cross Sections of 3D Shapes Math Games,Legends of Learning,Ethan,FALSE,Grade 7,https://www.legendsoflearning.com/learning-objectives/cross-sections-of-3d-shapes-math-games/,UC,Legends of Learning,N/A,Y,Y,N,,Mathematics ,,,,,Free,,,,,,,Web-based mobil,,,,
729,Draw Shapes With Given Measurements Math Games,Legends of Learning,Ethan,FALSE,Grade 7,https://www.legendsoflearning.com/learning-objectives/draw-shapes-with-given-measurements-math-games/,UC,Legends of Learning,N/A,Y,Y,N,,Mathematics ,,,,,Free,,,,,,,Web-based mobil,,,,
730,Problems Using Scale Math Games,Legends of Learning,Ethan,FALSE,Grade 7,https://www.legendsoflearning.com/learning-objectives/problems-using-scale-math-games/,UC,Legends of Learning,N/A,Y,Y,N,,Mathematics ,,,,,Free,,,,,,,Web-based mobil,,,,
731,Solve Inequalities Math Games,Legends of Learning,Ethan,FALSE,Grade 7,https://www.legendsoflearning.com/learning-objectives/solve-inequalities-math-games/,UC,Legends of Learning,N/A,Y,Y,N,,Mathematics ,,,,,Free,,,,,,,Web-based mobil,,,,
732,Solve Equations Math Games,Legends of Learning,Ethan,FALSE,Grade 7,https://www.legendsoflearning.com/learning-objectives/solve-equations-math-games/,UC,Legends of Learning,N/A,Y,Y,N,,Mathematics ,,,,,Free,,,,,,,Web-based mobil,,,,
733,Applications of Rational Numbers Math Games,Legends of Learning,Ethan,FALSE,Grade 7,https://www.legendsoflearning.com/learning-objectives/applications-rational-numbers-math-games/,UC,Legends of Learning,N/A,Y,Y,N,,Mathematics ,,,,,Free,,,,,,,Web-based mobil,,,,
734,Rewrite Expressions Math Games,Legends of Learning,Ethan,FALSE,Grade 7,https://www.legendsoflearning.com/learning-objectives/rewrite-expressions-math-games/,UC,Legends of Learning,N/A,Y,Y,N,,Mathematics ,,,,,Free,,,,,,,Web-based mobil,,,,
735,Writing Expressions Math Games,Legends of Learning,Ethan,FALSE,Grade 7,https://www.legendsoflearning.com/learning-objectives/writing-expressions-math-games/,UC,Legends of Learning,N/A,Y,Y,N,,Mathematics ,,,,,Free,,,,,,,Web-based mobil,,,,
736,Real World Problems With Rational Numbers Math Games,Legends of Learning,Ethan,FALSE,Grade 7,https://www.legendsoflearning.com/learning-objectives/real-world-problems-with-rational-numbers-math-games/,UC,Legends of Learning,N/A,Y,Y,N,,Mathematics ,,,,,Free,,,,,,,Web-based mobil,,,,
737,Convert Rational Numbers to Decimals Math Games,Legends of Learning,Ethan,FALSE,Grade 7,https://www.legendsoflearning.com/learning-objectives/convert-rational-numbers-to-decimals-math-games/,UC,Legends of Learning,N/A,Y,Y,N,,Mathematics ,,,,,Free,,,,,,,Web-based mobil,,,,
738,Multiply And Divide Rational Numbers Math Games,Legends of Learning,Ethan,FALSE,Grade 7,https://www.legendsoflearning.com/learning-objectives/multiply-and-divide-rational-numbers-math-games/,UC,Legends of Learning,N/A,Y,Y,N,,Mathematics ,,,,,Free,,,,,,,Web-based mobil,,,,
739,Division Of Rational Numbers Math Games,Legends of Learning,Ethan,FALSE,Grade 7,https://www.legendsoflearning.com/learning-objectives/division-of-rational-numbers-math-games/,UC,Legends of Learning,N/A,Y,Y,N,,Mathematics ,,,,,Free,,,,,,,Web-based mobil,,,,
740,Multiplication Of Rational Numbers Math Games,Legends of Learning,Ethan,FALSE,Grade 7,https://www.legendsoflearning.com/learning-objectives/multiplication-of-rational-numbers-math-games/,UC,Legends of Learning,N/A,Y,Y,N,,Mathematics ,,,,,Free,,,,,,,Web-based mobil,,,,
741,Operations on Rational Numbers Math Games,Legends of Learning,Ethan,FALSE,Grade 7,https://www.legendsoflearning.com/learning-objectives/operations-on-rational-numbers-math-games/,UC,Legends of Learning,N/A,Y,Y,N,,Mathematics ,,,,,Free,,,,,,,Web-based mobil,,,,
742,Subtraction As Addition Of Additive Inverse Math Games,Legends of Learning,Ethan,FALSE,Grade 7,https://www.legendsoflearning.com/learning-objectives/subtraction-as-addition-of-additive-inverse-math-games/,UC,Legends of Learning,N/A,Y,Y,N,,Mathematics ,,,,,Free,,,,,,,Web-based mobil,,,,
743,Rational Numbers on a Number Line Math Games,Legends of Learning,Ethan,FALSE,Grade 7,https://www.legendsoflearning.com/learning-objectives/rational-numbers-on-a-number-line-math-games/,UC,Legends of Learning,N/A,Y,Y,N,,Mathematics ,,,,,Free,,,,,,,Web-based mobil,,,,
744,Opposites Sum Is 0 Math Games,Legends of Learning,Ethan,FALSE,Grade 7,https://www.legendsoflearning.com/learning-objectives/opposites-sum-is-0-math-games/,UC,Legends of Learning,N/A,Y,Y,N,,Mathematics ,,,,,Free,,,,,,,Web-based mobil,,,,
745,Solve Problems With Proportion Math Games,Legends of Learning,Ethan,FALSE,Grade 7,https://www.legendsoflearning.com/learning-objectives/solve-problems-with-proportion-math-games/,UC,Legends of Learning,N/A,Y,Y,N,,Mathematics ,,,,,Free,,,,,,,Web-based mobil,,,,
746,Data Measure of Center and Variability Math Games,Legends of Learning,Ethan,FALSE,Grade 6,https://www.legendsoflearning.com/learning-objectives/data-measure-of-center-and-variability-math-games/,UC,Legends of Learning,N/A,Y,Y,N,,Mathematics ,,,,,Free,,,,,,,Web-based mobil,,,,
747,Summarize Data Using Measures of Central Tendency Math Games,Legends of Learning,Ethan,FALSE,Grade 6,https://www.legendsoflearning.com/learning-objectives/summarize-data-using-central-measures-of-tendency-math-games/,UC,Legends of Learning,N/A,Y,Y,N,,Mathematics ,,,,,Free,,,,,,,Web-based mobil,,,,
748,Summarize Data By Data Collection Measures Math Games,Legends of Learning,Ethan,FALSE,Grade 6,https://www.legendsoflearning.com/learning-objectives/summarize-data-by-data-collection-measures-math-games/,UC,Legends of Learning,N/A,Y,Y,N,,Mathematics ,,,,,Free,,,,,,,Web-based mobil,,,,
749,Summarize Data By Number Of Data Points Math Games,Legends of Learning,Ethan,FALSE,Grade 6,https://www.legendsoflearning.com/learning-objectives/summarize-data-by-number-of-data-points-math-games/,UC,Legends of Learning,N/A,Y,Y,N,,Mathematics ,,,,,Free,,,,,,,Web-based mobil,,,,
750,Data In Box Plots++ Histograms++ And Dot Plots Math Games,Legends of Learning,Ethan,FALSE,Grade 6,https://www.legendsoflearning.com/learning-objectives/data-in-box-plots-histograms-and-dot-plots-math-games/,UC,Legends of Learning,N/A,Y,Y,N,,Mathematics ,,,,,Free,,,,,,,Web-based mobil,,,,
751,Median And Quartile Math Games,Legends of Learning,Ethan,FALSE,Grade 6,https://www.legendsoflearning.com/learning-objectives/median-and-quartile-math-games/,UC,Legends of Learning,N/A,Y,Y,N,,Mathematics ,,,,,Free,,,,,,,Web-based mobil,,,,
752,Structure Of Statistical Data Math Games,Legends of Learning,Ethan,FALSE,Grade 6,https://www.legendsoflearning.com/learning-objectives/structure-of-statistical-data-math-games/,UC,Legends of Learning,N/A,Y,Y,N,,Mathematics ,,,,,Free,,,,,,,Web-based mobil,,,,
753,Determine Statistical Questions Math Games,Legends of Learning,Ethan,FALSE,Grade 6,https://www.legendsoflearning.com/learning-objectives/determine-statistical-questions-math-games/,UC,Legends of Learning,N/A,Y,Y,N,,Mathematics ,,,,,Free,,,,,,,Web-based mobil,,,,
754,Represent 3-D Figures Using Nets Math Games,Legends of Learning,Ethan,FALSE,Grade 6,https://www.legendsoflearning.com/learning-objectives/represent-3-d-figures-using-nets-math-games/,UC,Legends of Learning,N/A,Y,Y,N,,Mathematics ,,,,,Free,,,,,,,Web-based mobil,,,,
755,Draw Polygons On The Coordinate Plane Math Games,Legends of Learning,Ethan,FALSE,Grade 6,https://www.legendsoflearning.com/learning-objectives/draw-polygons-on-the-coordinate-plane-math-games/,UC,Legends of Learning,N/A,Y,Y,N,,Mathematics ,,,,,Free,,,,,,,Web-based mobil,,,,
756,Find Volume Using Fractional Side Lengths Math Games,Legends of Learning,Ethan,FALSE,Grade 6,https://www.legendsoflearning.com/learning-objectives/find-volume-using-fractional-side-lengths-math-games/,UC,Legends of Learning,N/A,Y,Y,N,,Mathematics ,,,,,Free,,,,,,,Web-based mobil,,,,
757,Polygon Areas Math Games,Legends of Learning,Ethan,FALSE,Grade 6,https://www.legendsoflearning.com/learning-objectives/polygon-areas-math-games/,UC,Legends of Learning,N/A,Y,Y,N,,Mathematics ,,,,,Free,,,,,,,Web-based mobil,,,,
758,Algebraic Expressions and Variable Relationships Math Games,Legends of Learning,Ethan,FALSE,Grade 6,https://www.legendsoflearning.com/learning-objectives/algebraic-expressions-and-variable-relationships-math-games/,UC,Legends of Learning,N/A,Y,Y,N,,Mathematics ,,,,,Free,,,,,,,Web-based mobil,,,,
759,Write Inequalities Math Games,Legends of Learning,Ethan,FALSE,Grade 6,https://www.legendsoflearning.com/learning-objectives/write-inequalities-math-games/,UC,Legends of Learning,N/A,Y,Y,N,,Mathematics ,,,,,Free,,,,,,,Web-based mobil,,,,
760,Tell++ Write And Measure Time Math Games,Legends of Learning,Ethan,FALSE,Grade 3,https://www.legendsoflearning.com/learning-objectives/tell-write-and-measure-time-math-games/,UC,Legends of Learning,N/A,Y,Y,N,,Mathematics ,,,,,Free,,,,,,,Web-based mobil,,,,
761,Comparing Two Fractions Math Games,Legends of Learning,Ethan,FALSE,Grade 3,https://www.legendsoflearning.com/learning-objectives/comparing-two-fractions-math-games/,UC,Legends of Learning,N/A,Y,Y,N,,Mathematics ,,,,,Free,,,,,,,Web-based mobil,,,,
762,Express Whole Numbers As Fractions Math Games,Legends of Learning,Ethan,FALSE,Grade 3,https://www.legendsoflearning.com/learning-objectives/express-whole-numbers-as-fractions-math-games/,UC,Legends of Learning,N/A,Y,Y,N,,Mathematics ,,,,,Free,,,,,,,Web-based mobil,,,,
763,Model Equivalent Fractions Math Games,Legends of Learning,Ethan,FALSE,Grade 3,https://www.legendsoflearning.com/learning-objectives/model-equivalent-fractions-math-games/,UC,Legends of Learning,N/A,Y,Y,N,,Mathematics ,,,,,Free,,,,,,,Web-based mobil,,,,
764,Write Expressions With Variables Math Games,Legends of Learning,Ethan,FALSE,Grade 6,https://www.legendsoflearning.com/learning-objectives/write-expressions-with-variables-math-games/,UC,Legends of Learning,N/A,Y,Y,N,,Mathematics ,,,,,Free,,,,,,,Web-based mobil,,,,
765,Write And Solve Problems With Equations Math Games,Legends of Learning,Ethan,FALSE,Grade 6,https://www.legendsoflearning.com/learning-objectives/write-and-solve-problems-with-equations-math-games/,UC,Legends of Learning,N/A,Y,Y,N,,Mathematics ,,,,,Free,,,,,,,Web-based mobil,,,,
766,Answering Questions With Equations Math Games,Legends of Learning,Ethan,FALSE,Grade 6,https://www.legendsoflearning.com/learning-objectives/answering-questions-with-equations-math-games/,UC,Legends of Learning,N/A,Y,Y,N,,Mathematics ,,,,,Free,,,,,,,Web-based mobil,,,,
767,Understanding Equivalent Fractions Math Games,Legends of Learning,Ethan,FALSE,Grade 3,https://www.legendsoflearning.com/learning-objectives/understanding-equivalent-fractions-math-games/,UC,Legends of Learning,N/A,Y,Y,N,,Mathematics ,,,,,Free,,,,,,,Web-based mobil,,,,
768,Determine If Expressions Are Equivalent Math Games,Legends of Learning,Ethan,FALSE,Grade 6,https://www.legendsoflearning.com/learning-objectives/determine-if-expressions-are-equivalent-math-games/,UC,Legends of Learning,N/A,Y,Y,N,,Mathematics ,,,,,Free,,,,,,,Web-based mobil,,,,
769,Plotting Fractional Numbers On A Number Line Math Games,Legends of Learning,Ethan,FALSE,Grade 3,https://www.legendsoflearning.com/learning-objectives/plotting-fractional-numbers-on-a-number-line-math-games/,UC,Legends of Learning,N/A,Y,Y,N,,Mathematics ,,,,,Free,,,,,,,Web-based mobil,,,,
770,Fractions on a Number Line Math Games,Legends of Learning,Ethan,FALSE,Grade 3,https://www.legendsoflearning.com/learning-objectives/fractions-on-a-number-line-math-games/,UC,Legends of Learning,N/A,Y,Y,N,,Mathematics ,,,,,Free,,,,,,,Web-based mobil,,,,
771,Fractions As Part Of A Whole Math Games,Legends of Learning,Ethan,FALSE,Grade 3,https://www.legendsoflearning.com/learning-objectives/fractions-as-part-of-a-whole-math-games/,UC,Legends of Learning,N/A,Y,Y,N,,Mathematics ,,,,,Free,,,,,,,Web-based mobil,,,,
772,Multiply One-Digit Numbers By Multiples Of 10 Math Games,Legends of Learning,Ethan,FALSE,Grade 3,https://www.legendsoflearning.com/learning-objectives/multiply-one-digit-numbers-by-multiples-of-10-math-games/,UC,Legends of Learning,N/A,Y,Y,N,,Mathematics ,,,,,Free,,,,,,,Web-based mobil,,,,
773,Fluently Add Or Subtract Within 1000 Math Games,Legends of Learning,Ethan,FALSE,Grade 3,https://www.legendsoflearning.com/learning-objectives/fluently-add-or-subtract-within-1000-math-games/,UC,Legends of Learning,N/A,Y,Y,N,,Mathematics ,,,,,Free,,,,,,,Web-based mobil,,,,
774,Rounding To Nearest 10 Or 100 Math Games,Legends of Learning,Ethan,FALSE,Grade 3,https://www.legendsoflearning.com/learning-objectives/rounding-to-nearest-10-or-100-math-games/,UC,Legends of Learning,N/A,Y,Y,N,,Mathematics ,,,,,Free,,,,,,,Web-based mobil,,,,
775,Arithmetic Patterns Math Games,Legends of Learning,Ethan,FALSE,Grade 3,https://www.legendsoflearning.com/learning-objectives/arithmetic-patterns-math-games/,UC,Legends of Learning,N/A,Y,Y,N,,Mathematics ,,,,,Free,,,,,,,Web-based mobil,,,,
776,2-Step Word Problems Math Games,Legends of Learning,Ethan,FALSE,Grade 3,https://www.legendsoflearning.com/learning-objectives/2-step-word-problems-math-games/,UC,Legends of Learning,N/A,Y,Y,N,,Mathematics ,,,,,Free,,,,,,,Web-based mobil,,,,
777,Points on a Graph of a Proportional Relationship Math Games,Legends of Learning,Ethan,FALSE,Grade 7,https://www.legendsoflearning.com/learning-objectives/points-on-a-graph-of-a-proportional-relationship-math-games/,UC,Legends of Learning,N/A,Y,Y,N,,Mathematics ,,,,,Free,,,,,,,Web-based mobil,,,,
778,Multiply And Divide Within 100 Fluency Math Games,Legends of Learning,Ethan,FALSE,Grade 3,https://www.legendsoflearning.com/learning-objectives/multiply-and-divide-within-100-fluency-math-games/,UC,Legends of Learning,N/A,Y,Y,N,,Mathematics ,,,,,Free,,,,,,,Web-based mobil,,,,
779,Division As An Unknown Factor Math Games,Legends of Learning,Ethan,FALSE,Grade 3,https://www.legendsoflearning.com/learning-objectives/division-of-a-unknown-factor-math-games/,UC,Legends of Learning,N/A,Y,Y,N,,Mathematics ,,,,,Free,,,,,,,Web-based mobil,,,,
780,Properties Of Multiplication And Division Math Games,Legends of Learning,Ethan,FALSE,Grade 3,https://www.legendsoflearning.com/learning-objectives/properties-of-multiplication-and-division-math-games/,UC,Legends of Learning,N/A,Y,Y,N,,Mathematics ,,,,,Free,,,,,,,Web-based mobil,,,,
781,Find Equivalent Expressions Math Games,Legends of Learning,Ethan,FALSE,Grade 6,https://www.legendsoflearning.com/learning-objectives/find-equivalent-expressions-math-games/,UC,Legends of Learning,N/A,Y,Y,N,,Mathematics ,,,,,Free,,,,,,,Web-based mobil,,,,
782,Evaluate Expressions Given Values Math Games,Legends of Learning,Ethan,FALSE,Grade 6,https://www.legendsoflearning.com/learning-objectives/evaluate-expressions-given-values-math-games/,UC,Legends of Learning,N/A,Y,Y,N,,Mathematics ,,,,,Free,,,,,,,Web-based mobil,,,,
783,Interpret Expressions With Grouping Math Games,Legends of Learning,Ethan,FALSE,Grade 6,https://www.legendsoflearning.com/learning-objectives/interpret-expressions-with-grouping-math-games/,UC,Legends of Learning,N/A,Y,Y,N,,Mathematics ,,,,,Free,,,,,,,Web-based mobil,,,,
784,Write Expressions Using Letters Math Games,Legends of Learning,Ethan,FALSE,Grade 6,https://www.legendsoflearning.com/learning-objectives/write-expressions-using-letters-math-games/,UC,Legends of Learning,N/A,Y,Y,N,,Mathematics ,,,,,Free,,,,,,,Web-based mobil,,,,
785,Write And Evaluate Expressions With Exponents Math Games,Legends of Learning,Ethan,FALSE,Grade 6,https://www.legendsoflearning.com/learning-objectives/write-and-evaluate-expressions-with-exponents-math-games/,UC,Legends of Learning,N/A,Y,Y,N,,Mathematics ,,,,,Free,,,,,,,Web-based mobil,,,,
786,Graphing On A Coordinate Plane Math Games,Legends of Learning,Ethan,FALSE,Grade 6,https://www.legendsoflearning.com/learning-objectives/graphing-on-a-coordinate-plane-math-games/,UC,Legends of Learning,N/A,Y,Y,N,,Mathematics ,,,,,Free,,,,,,,Web-based mobil,,,,
787,Absolute Value Vs. Ordering Rational Numbers Math Games,Legends of Learning,Ethan,FALSE,Grade 6,https://www.legendsoflearning.com/learning-objectives/absolute-value-vs-ordering-rational-numbers-math-games/,UC,Legends of Learning,N/A,Y,Y,N,,Mathematics ,,,,,Free,,,,,,,Web-based mobil,,,,
788,Absolute Value As A Distance From 0 Math Games,Legends of Learning,Ethan,FALSE,Grade 6,https://www.legendsoflearning.com/learning-objectives/absolute-value-as-a-distance-from-0-math-games/,UC,Legends of Learning,N/A,Y,Y,N,,Mathematics ,,,,,Free,,,,,,,Web-based mobil,,,,
789,Order Rational Numbers Math Games,Legends of Learning,Ethan,FALSE,Grade 6,https://www.legendsoflearning.com/learning-objectives/order-rational-numbers-math-games/,UC,Legends of Learning,N/A,Y,Y,N,,Mathematics ,,,,,Free,,,,,,,Web-based mobil,,,,
790,Number Lines to Rationalize Inequalities Math Games,Legends of Learning,Ethan,FALSE,Grade 6,https://www.legendsoflearning.com/learning-objectives/number-lines-to-rationalize-inequalities-math-games/,UC,Legends of Learning,N/A,Y,Y,N,,Mathematics ,,,,,Free,,,,,,,Web-based mobil,,,,
791,Plot Integers On A Number Line Math Games,Legends of Learning,Ethan,FALSE,Grade 6,https://www.legendsoflearning.com/learning-objectives/plot-integers-on-a-number-line-math-games/,UC,Legends of Learning,N/A,Y,Y,N,,Mathematics ,,,,,Free,,,,,,,Web-based mobil,,,,
792,Ordered Pairs on a Coordinate Plane Math Games,Legends of Learning,Ethan,FALSE,Grade 6,https://www.legendsoflearning.com/learning-objectives/ordered-pairs-on-a-coordinate-plane-math-games/,UC,Legends of Learning,N/A,Y,Y,N,,Mathematics ,,,,,Free,,,,,,,Web-based mobil,,,,
793,Opposite Signs On The Same Number Math Games,Legends of Learning,Ethan,FALSE,Grade 6,https://www.legendsoflearning.com/learning-objectives/opposite-signs-on-the-same-number-math-games/,UC,Legends of Learning,N/A,Y,Y,N,,Mathematics ,,,,,Free,,,,,,,Web-based mobil,,,,
794,Positive And Negative To Describe Opposites Math Games,Legends of Learning,Ethan,FALSE,Grade 6,https://www.legendsoflearning.com/learning-objectives/positive-and-negative-to-describe-opposites-math-games/,UC,Legends of Learning,N/A,Y,Y,N,,Mathematics ,,,,,Free,,,,,,,Web-based mobil,,,,
795,Greatest Common Factor Math Games,Legends of Learning,Ethan,FALSE,Grade 6,https://www.legendsoflearning.com/learning-objectives/greatest-common-factor-math-games/,UC,Legends of Learning,N/A,Y,Y,N,,Mathematics ,,,,,Free,,,,,,,Web-based mobil,,,,
796,Arithmetic with Decimals Fluency Math Games,Legends of Learning,Ethan,FALSE,Grade 6,https://www.legendsoflearning.com/learning-objectives/arithmetic-with-decimals-fluency-math-games/,UC,Legends of Learning,N/A,Y,Y,N,,Mathematics ,,,,,Free,,,,,,,Web-based mobil,,,,
797,Divide Multi-Digit Numbers Fluency Math Games,Legends of Learning,Ethan,FALSE,Grade 6,https://www.legendsoflearning.com/learning-objectives/divide-multi-digit-numbers-fluency-math-games/,UC,Legends of Learning,N/A,Y,Y,N,,Mathematics ,,,,,Free,,,,,,,Web-based mobil,,,,
798,Division Of Fractions Math Games,Legends of Learning,Ethan,FALSE,Grade 6,https://www.legendsoflearning.com/learning-objectives/division-of-fractions-math-games/,UC,Legends of Learning,N/A,Y,Y,N,,Mathematics ,,,,,Free,,,,,,,Web-based mobil,,,,
799,Ratios To Convert Measurement Units Math Games,Legends of Learning,Ethan,FALSE,Grade 6,https://www.legendsoflearning.com/learning-objectives/ratios-to-convert-measurement-units-math-games/,UC,Legends of Learning,N/A,Y,Y,N,,Mathematics ,,,,,Free,,,,,,,Web-based mobil,,,,
800,Understand Place Value Math Games,Legends of Learning,Ethan,FALSE,Grade 5,https://www.legendsoflearning.com/learning-objectives/understand-place-value-math-games/,UC,Legends of Learning,N/A,Y,Y,N,,Mathematics ,,,,,Free,,,,,,,Web-based mobil,,,,
801,Terms and Rules in Numerical Patterns Math Games,Legends of Learning,Ethan,FALSE,Grade 5,https://www.legendsoflearning.com/learning-objectives/terms-and-rules-in-numerical-patterns-math-games/,UC,Legends of Learning,N/A,Y,Y,N,,Mathematics ,,,,,Free,,,,,,,Web-based mobil,,,,
